"cnh_cd"|"cohort"|"category_cohort"|"n_unique_episode"|"mediana_edad"|"iqr_age"|"n_mujeres"|"n_exitus"|"mediana_los"|"asa_cd_1"|"asa_cd_2"|"asa_cd_3"|"asa_cd_4"|"asa_cd_5"|"asa_cd_6"|"brs_bl"|"eras_recovery_bl"|"aids_bl"|"ami_bl"|"chf_bl"|"ckd_bl"|"copd_bl"|"ctp_bl"|"cvd_bl"|"dementia_bl"|"hemiplegia_bl"|"leuk_bl"|"lymph_bl"|"mildliver_bl"|"mtx_bl"|"orgdiab_bl"|"peptic_bl"|"pvd_bl"|"severeliver_bl"|"tumor_bl"|"uncdiab_bl"|"akic_bl"|"amic_bl"|"anastomotic_breakdown_bl"|"ardsc_bl"|"arrythc_bl"|"bloodinfc_bl"|"cardiacc_bl"|"cpec_bl"|"deliriumc_bl"|"dvtc_bl"|"gastroc_bl"|"ileusc_bl"|"myoinfc_bl"|"pneumc_bl"|"postophemc_bl"|"pulmemb_bl"|"ssinfc_bl"|"strokec_bl"|"transfaec_bl"|"uncinfc_bl"|"utic_bl"|"aids_bl_elix"|"alcohol_bl_elix"|"anemdef_bl_elix"|"autoimmune_bl_elix"|"bldloss_bl_elix"|"cancer_leuk_bl_elix"|"cancer_lymph_bl_elix"|"cancer_mets_bl_elix"|"cancer_nsitu_bl_elix"|"cancer_solid_bl_elix"|"cbvd_poa_bl_elix"|"cbvd_sqla_bl_elix"|"coag_bl_elix"|"dementia_bl_elix"|"depress_bl_elix"|"diab_cx_bl_elix"|"diab_uncx_bl_elix"|"drug_abuse_bl_elix"|"hf_bl_elix"|"htn_cx_bl_elix"|"htn_uncx_bl_elix"|"liver_mld_bl_elix"|"liver_sev_bl_elix"|"lung_chronic_bl_elix"|"neuro_movt_bl_elix"|"neuro_oth_bl_elix"|"neuro_seiz_bl_elix"|"obese_bl_elix"|"paralysis_bl_elix"|"perivasc_bl_elix"|"psychoses_bl_elix"|"pulmcirc_bl_elix"|"renlfl_mod_bl_elix"|"renlfl_sev_bl_elix"|"thyroid_hypo_bl_elix"|"thyroid_oth_bl_elix"|"ulcer_peptic_bl_elix"|"valve_bl_elix"|"wghtloss_bl_elix"
"Hospital A"|"hist_onco"|"CIR_ONCO"|3|55.0|6.0|3|0|2.385|"1"|"NA"|"6"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"Hospital A"|"ncrl"|"CIR_ONCO"|22|73.0|13.25|9|0|7.263|"2"|"18"|"30"|"NA"|"5"|"NA"|"NA"|"NA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|11|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1
"Hospital A"|"cist_radical"|"CIR_PROG"|2|66.5|10.5|1|0|17.876|"NA"|"4"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"Hospital A"|"ncra"|"CIR_ONCO"|10|64.5|16.5|3|0|9.2585|"NA"|"12"|"9"|"NA"|"5"|"NA"|"NA"|"NA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"Hospital A"|"prod"|"CIR_PROG"|201|74.0|13.0|132|1|5.317|"4"|"256"|"150"|"4"|"90"|"NA"|"NA"|"NA"|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|103|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"Hospital A"|"pcad"|"CIR_PROG"|117|72.0|19.0|58|2|5.26|"9"|"116"|"111"|"4"|"60"|"NA"|"NA"|"NA"|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|50|0|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|5
"Hospital A"|"icv"|"CIR_PROG"|100|68.5|17.0|36|3|9.5175|"1"|"26"|"222"|"44"|"5"|"NA"|"NA"|"NA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"Hospital B"|"prod"|"CIR_PROG"|1592|72.0|14.0|1114|0|3.407|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|34|10|143|24|1|40|1|2|6|70|1|11|6|13|3|7|315|17|0|3|0|2|1|0|1|4|0|0|2|0|1|2|0|0|0|0|2|4|0|65|78|69|0|2|9|1|0|8|4|7|10|40|350|16|306|12|46|160|855|109|11|269|41|12|15|564|8|21|16|3|108|15|237|32|6|38|2
"Hospital B"|"cist_radical"|"CIR_PROG"|10|62.5|9.5|4|0|7.3575|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|0|0|1|0|0|0|0|0|0|0|4|0|0|0|0|7|3|2|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0|0|1|0|0|0|0|3|0|1|0|0|0|0|0|0|3|0|0|2|1|0|0|2|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1
"Hospital B"|"pcad"|"CIR_PROG"|851|69.0|17.0|430|0|3.419|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|26|3|81|9|2|20|2|4|4|33|2|6|1|13|0|7|119|12|0|2|0|2|0|0|2|3|0|0|2|1|1|1|0|2|0|0|1|2|0|55|39|35|0|4|4|2|0|5|3|0|7|20|151|6|115|19|23|65|385|51|3|126|10|6|7|178|3|18|11|3|58|6|92|15|1|23|2
