"descrip"|"result"|"year"|"cohort"|"hospital"
"Promedio  de la 1º Hb antes de la cirugía"|"12.5"|"2025"|"cist_radical"|"Hospital A"
"Promedio  de Hb al alta en pacientes no transfundidos"|"10"|"2025"|"cist_radical"|"Hospital A"
"Promedio  de días de estancia hospitalaria"|"17.876"|"2025"|"cist_radical"|"Hospital A"
"Mediana de la 1º Hb antes de la cirugía"|"12.5"|"2025"|"cist_radical"|"Hospital A"
"Mediana de Hb al alta en pacientes no transfundidos"|"10"|"2025"|"cist_radical"|"Hospital A"
"Mediana de días de estancia hospitalaria"|"17.876"|"2025"|"cist_radical"|"Hospital A"
"Valor de Hb previo a la intervención (promedio)"|"13"|"2025"|"cist_radical"|"Hospital A"
"Valor de Hb previo a la intervención (mediana)"|"13"|"2025"|"cist_radical"|"Hospital A"
"Prevalencia anemia preoperatoria (Hb<13) en %"|"50"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes con evaluación de la anemia preoperatoria con tiempo suficiente"|"50"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes anémicos en preoperatorio con estudio del metabolismo del hierro"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes anémicos en preoperatorio con estudio del metabolismo del hierro (Hb<13)"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes anémicos con determinación de concentración Hb reticulocitaria"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes anémicos con determinación de concentración Hb reticulocitaria (Hb<13)"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente (Hb<13)"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes anémicos tratados preoperatoriamente con tiempo suficiente 
(anémicos y no anémicos)"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes no transfundidos con hematíes en preoperatorio"|"100"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes no transfundidos con plasma en preoperatorio"|"100"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes no transfundidos con plaquetas en preoperatorio"|"100"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes intervenidos sin anemia"|"50"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes intervenidos sin anemia (Hb>=13)"|"50"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes tratados postoperatoriamente con hierro IV"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes con anestesia regional"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes tratados con antifibrinolíticos"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes con uso de recuperadores de sangre"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes tratados con fibrinógeno"|"0"|"2025"|"cist_radical"|"Hospital A"
"% de pacientes tratados con fibrinógeno 
idem para todos, con y sin valor de conc.fibrin."|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (overall)"|"2"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Arritmia)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Daño miocárdico después Cirg.NoCardíaca)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Delirium)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Edema pulmonar cardiogénico)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Embolia pulmonar)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Enfermedad venosa profunda)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Eventos adversos rel. transfusión)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Fallo renal agudo)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Hemorragia postoperatoria)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Ictus)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Infarto agudo de miocardio)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de localización quirúrgica)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección de origen desconocido)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección del tracto urinario)"|"0"|"2025"|"cist_radical"|"Hospital A"
"Nº episodios con complicaciones postoperatorias a 30 días (Infección sanguínea Conf.Lab)"|"0"|"2025"|"cist_radical"|"Hospital A"
